orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
3.262038,,,,,,,5.27397,,,EPIC 202060800.01,K2,CANDIDATE
4.4654,,45.0,,,,,2.3,,,EPIC 202062450.01,K2,CANDIDATE
21.140574,,31.5,,,,,1.29,,,EPIC 202064253.01,K2,CANDIDATE
5.74372,,,,,,,,,,EPIC 202065819.01,K2,CANDIDATE
3.2923818,,19.6,,,,,1.87,,,EPIC 202066192.01,K2,CANDIDATE
6.90487,,53.0,,,,,1.45,,,EPIC 202066537.01,K2,CANDIDATE
1.696374,,35.3,,,,,1.793,,,EPIC 202066811.01,K2,CANDIDATE
3.0459383,,19.0,,,,,0.89,,,EPIC 202071289.01,K2,CANDIDATE
3.23792,,,,,,,0.639668,0.707,,EPIC 202071401.01,K2,CANDIDATE
6.2719092,,60.0,,,,,1.81,,,EPIC 202071635.01,K2,CANDIDATE
23.7782,,98.0,,,,,2.09,,,EPIC 202071645.01,K2,FALSE_POSITIVE
1.42636,,6.66,,,,,4.28,,,EPIC 202071725.01,K2,CANDIDATE
3.979287,,37.5,,,,,1.84,,,EPIC 202072596.01,K2,CANDIDATE
2.1417519,,86.2,,,,,1.59,,,EPIC 202072965.01,K2,CANDIDATE
2.86136,,,,,,,0.50129,0.499329,,EPIC 202084970.01,K2,CANDIDATE
3.10622,,,,,,,0.501135,0.499177,,EPIC 202085553.01,K2,CANDIDATE
1.814553,,,,,,,10.0566,,,EPIC 202085597.01,K2,CANDIDATE
17.1541,,,,,,,16.1325,,,EPIC 202085698.01,K2,CANDIDATE
12.1507,,1.48,,,,,0.83,,,EPIC 202085934.01,K2,CANDIDATE
2.4343734,,61.4,,,,,0.9,,,EPIC 202086291.01,K2,CANDIDATE
1.8490876,,17.3,,,,,0.96,,,EPIC 202086968.01,K2,CANDIDATE
2.62077,,58.0,,,,,1.4,,,EPIC 202088212.01,K2,CANDIDATE
1.3144014,,2.78,,,,,1.23,,,EPIC 202089657.01,K2,CANDIDATE
4.8045244,,3.62,,,,,1.28,,,EPIC 202090152.01,K2,CANDIDATE
6.14818,,,,,,,2.29043,,,EPIC 202090723.01,K2,CANDIDATE
1.49761,,,,,,,,,,EPIC 202090737.01,K2,CANDIDATE
6.479656,,3.33165021,,,,,0.921539,,,EPIC 202091388.01,K2,CANDIDATE
2.8445331,,65.3,,,,,1.16,,,EPIC 202092480.01,K2,CANDIDATE
0.6687,,2.22,,,,,1.942,,,EPIC 202092559.01,K2,CANDIDATE
13.3461,,42.0,,,,,2.575,,,EPIC 202092782.01,K2,CANDIDATE
4.13737,,24.5,,,,,1.03,,,EPIC 202093020.01,K2,CANDIDATE
2.469851,,6.6,,,,,1.479,,,EPIC 202093968.01,K2,CANDIDATE
0.689647,,6.58,,,,,1.08,,,EPIC 202094740.01,K2,CANDIDATE
4.1687922,,16.1,,,,,1.14,,,EPIC 202126847.01,K2,CANDIDATE
21.17051,,81.0,,,,,2.536,,,EPIC 202126853.01,K2,CANDIDATE
5.31937553733,,19.66846395,,,,1698.93,2.36934,,,EPIC 202126884.01,K2,CANDIDATE
12.866539,,22.3,,,,,1.18,,,EPIC 202126887.01,K2,FALSE_POSITIVE
1.84617,,2.14,,,,,0.21,,,EPIC 202126888.01,K2,FALSE_POSITIVE
6.6223,,,,,,,5.54598,,,EPIC 202137637.01,K2,CANDIDATE
0.5217136,,452.0,,,,,11.27,,,EPIC 202139294.01,K2,CANDIDATE
11.97495,,256.0,,,,,3.4,,,EPIC 202565282.01,K2,CANDIDATE
5.9895,,2.04,,,,,1.03,,,EPIC 202600948.01,K2,CANDIDATE
28.707623,,21.2,,,,,1.03,,,EPIC 202634963.01,K2,CANDIDATE
15.465691,,4.13,,,,,0.76,,,EPIC 202675839.01,K2,CANDIDATE
1.4556637,,,,,,,1.84406,1.341,,EPIC 202688980.01,K2,CANDIDATE
3.3262396,,1.16,,,,,0.33,,,EPIC 202710713.01,K2,CANDIDATE
13.1426,,200.0,,,,,13.9,,,EPIC 202774883.01,K2,CANDIDATE
4.4743465,,3.06,,,,,0.81,,,EPIC 202821899.01,K2,CANDIDATE
2.1989041,,46.6,,,,,0.75,,,EPIC 202843107.01,K2,CANDIDATE
4.1657292,,1.86,,,,,0.36,,,EPIC 202893157.01,K2,CANDIDATE
0.6308,,,,,,,,,,EPIC 202963882.01,K2,FALSE_POSITIVE
0.2358684,,6.1,,,,,1.792,,,EPIC 202971774.01,K2,CANDIDATE
12.99109,,43.0,,,,,4.5,,,EPIC 203042994.01,K2,CANDIDATE
1.7359447,,1.89,,,,,0.84,,,EPIC 203070421.01,K2,CANDIDATE
1.8389349,,0.837,,,,,0.58,,,EPIC 203099398.01,K2,CANDIDATE
2.032664,,1.92,,,,,0.535,,,EPIC 203139512.01,K2,CANDIDATE
6.11706,,1.76,,,,,0.535,,,EPIC 203139512.02,K2,CANDIDATE
1.85872487,,,,,,,2.01889,1.11,,EPIC 203294831.01,K2,CANDIDATE
540.0,,5.7,,,,,0.94,,,EPIC 203311200.01,K2,CANDIDATE
1.4408,,,,,,,1.58859,,,EPIC 203476597.01,K2,FALSE_POSITIVE
0.841202,,82.0,,,,,2.31,,,EPIC 203485624.01,K2,FALSE_POSITIVE
0.8411257,,0.884,,,,,0.66,,,EPIC 203518244.01,K2,CANDIDATE
0.17566,,3.11,,,,,1.15,,,EPIC 203533312.01,K2,CANDIDATE
29.33873041,,,,,,,0.528528,0.525532,,EPIC 203560204.01,K2,CANDIDATE
22.7984,,9.0,,,,,1.37,,,EPIC 203581469.01,K2,FALSE_POSITIVE
1.68027,,2.9,,,,,1.275,,,EPIC 203616858.01,K2,CANDIDATE
2.54427583,,,,,,,3.23826,2.003,,EPIC 203623230.01,K2,CANDIDATE
0.7099504,,80.0,,,,,2.065,,,EPIC 203633064.01,K2,CANDIDATE
1.8204,,,,,,,0.5139,0.511624,,EPIC 203692610.01,K2,FALSE_POSITIVE
1.404411,,99.0,,,,,2.02,,,EPIC 203710387.01,K2,FALSE_POSITIVE
3.400858,,14.1,,,,,0.983,,,EPIC 203753577.01,K2,CANDIDATE
,,7.51,,,,,1.249,,,EPIC 203771098.03,K2,CANDIDATE
,,,,,,,,,,EPIC 203784668.01,K2,CANDIDATE
