orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
29.1598615,4.803,1.91,15.403,488.0,0.3619,524.0,0.867,0.986,,K00806.03,KEPLER,CONFIRMED
1.540397253,2.1541,25.69,15.974,816.1,1.225,1470.0,0.915,1.034,0.0,K00807.01,KEPLER,FALSE_POSITIVE
2.99025443,5.414,1.7,15.842,589.2,0.014,918.0,0.731,0.737,0.0,K00808.01,KEPLER,FALSE_POSITIVE
1.594745374,1.9604,11.3,15.53,15044.0,0.514,1539.0,0.893,0.901,1.0,K00809.01,KEPLER,CONFIRMED
4.783002698,2.335,2.5,15.119,1008.7,0.003,886.0,0.807,0.891,1.0,K00810.01,KEPLER,CONFIRMED
20.50588921,4.0595,3.41,15.398,2105.5,0.26,518.0,0.761,0.739,1.0,K00811.01,KEPLER,CONFIRMED
3.340218842,1.9104,2.03,15.954,1632.6,0.466,656.0,0.493,0.502,1.0,K00812.01,KEPLER,CONFIRMED
2.507089906,2.0067,30.26,15.555,1339.2,1.255,1326.0,0.939,1.03,0.0,K00828.01,KEPLER,FALSE_POSITIVE
18.64932728,4.4056,3.12,15.386,893.6,0.08,701.0,1.053,1.026,1.0,K00829.01,KEPLER,CONFIRMED
4.90144976,4.1654,1.7,12.487,140.7,0.529,1262.0,1.402,1.113,1.0,K00117.02,KEPLER,CONFIRMED
9.75192101,4.793,2.76,15.386,418.0,0.949,870.0,1.053,1.026,0.998,K00829.02,KEPLER,CONFIRMED
38.5576546,5.794,4.02,15.386,993.0,0.911,550.0,1.053,1.026,1.0,K00829.03,KEPLER,CONFIRMED
3.525632539,2.59959,11.58,15.224,22335.0,0.12,975.0,0.793,0.855,0.99,K00830.01,KEPLER,CONFIRMED
34.84398644,2.9315,7.61,15.684,4523.6,0.934,511.0,0.871,0.84,1.0,K00815.01,KEPLER,CANDIDATE
7.748094239,3.5957,5.52,15.67,2472.1,0.517,964.0,1.085,1.181,1.0,K00816.01,KEPLER,CONFIRMED
23.96793669,3.827,1.8,15.414,1182.3,0.416,329.0,0.524,0.536,1.0,K00817.01,KEPLER,CONFIRMED
8.29561738,1.3421,1.82,15.414,824.3,0.888,469.0,0.524,0.536,0.995,K00817.02,KEPLER,CONFIRMED
8.11437482,2.2736,2.1,15.877,1558.0,0.573,460.0,0.517,0.553,1.0,K00818.01,KEPLER,CONFIRMED
38.036729482,4.34617,27.5,15.472,82872.0,0.501,500.0,0.932,1.051,0.0,K00819.01,KEPLER,FALSE_POSITIVE
4.64090031,35.512,30.09,15.27,2450.6,1.28,1155.0,0.826,0.786,0.0,K00820.01,KEPLER,CANDIDATE
3.747838198,5.0642,13.65,13.496,616.0,1.121,1031.0,0.826,0.926,0.0,K00011.01,KEPLER,FALSE_POSITIVE
14.74914825,6.0995,2.89,12.487,430.2,0.173,874.0,1.402,1.113,0.992,K00117.01,KEPLER,CONFIRMED
21.81295996,4.3791,3.38,15.54,1175.4,0.053,639.0,0.999,0.934,1.0,K00821.01,KEPLER,CONFIRMED
7.91936937,3.3148,10.34,15.805,15148.0,0.733,814.0,0.776,0.852,0.0,K00822.01,KEPLER,FALSE_POSITIVE
1.028436523,1.8606,72.77,15.202,8098.0,1.5734,1947.0,0.99,0.959,,K00823.01,KEPLER,CANDIDATE
15.37562369,3.3169,11.01,16.422,15337.0,0.692,600.0,0.833,0.793,1.0,K00824.01,KEPLER,CONFIRMED
8.10363271,3.161,2.11,15.289,887.9,0.047,687.0,0.732,0.733,1.0,K00825.01,KEPLER,CONFIRMED
4.71510843,2.506,1.46,15.289,417.5,0.258,823.0,0.732,0.733,1.0,K00825.02,KEPLER,CONFIRMED
6.365839713,2.9721,2.44,15.09,780.7,0.524,914.0,0.849,0.939,1.0,K00826.01,KEPLER,CONFIRMED
5.97581754,3.065,3.86,15.546,962.4,0.941,1047.0,0.997,1.072,0.037,K00827.01,KEPLER,FALSE_POSITIVE
2.446737317,4.7211,26.25,15.021,1177.9,1.241,1261.0,0.863,0.959,0.0,K00839.01,KEPLER,FALSE_POSITIVE
3.04033046,1.8411,8.99,15.028,10859.0,0.736,1021.0,0.791,0.754,1.0,K00840.01,KEPLER,CONFIRMED
15.33528675,3.897,5.0,15.855,3081.4,0.773,610.0,0.817,0.926,1.0,K00841.01,KEPLER,CONFIRMED
7.95825328,4.377,1.06,12.487,50.0,0.706,1074.0,1.402,1.113,0.998,K00117.04,KEPLER,CONFIRMED
31.33046135,5.176,6.5,15.855,5073.8,0.798,481.0,0.817,0.926,1.0,K00841.02,KEPLER,CONFIRMED
3.9043425,3.831,12.28,15.016,16228.0,0.709,1104.0,0.898,0.989,0.006,K00831.01,KEPLER,FALSE_POSITIVE
9.286358079,3.49949,17.61,15.365,44791.0,0.377,796.0,0.821,0.82,0.0,K00832.01,KEPLER,FALSE_POSITIVE
3.951405455,2.1862,31.44,15.446,2453.9,1.276,1133.0,0.869,0.953,0.0,K00833.01,KEPLER,FALSE_POSITIVE
23.65369415,8.2183,7.89,15.084,3341.8,0.008,731.0,1.384,1.083,0.999,K00834.01,KEPLER,CONFIRMED
13.23352214,6.7372,3.06,15.084,504.6,0.014,888.0,1.384,1.083,0.996,K00834.02,KEPLER,CONFIRMED
6.15560285,4.9843,2.32,15.084,285.0,0.235,1146.0,1.384,1.083,0.997,K00834.03,KEPLER,CONFIRMED
2.090811305,3.388,1.62,15.084,115.9,0.746,1642.0,1.384,1.083,1.0,K00834.04,KEPLER,CONFIRMED
3.180027898,3.5797,1.53,12.487,120.3,0.196,1458.0,1.402,1.113,0.995,K00117.03,KEPLER,CONFIRMED
50.4467417,7.159,2.67,15.084,370.3,0.379,568.0,1.384,1.083,0.989,K00834.05,KEPLER,CONFIRMED
11.76307164,2.9076,2.35,15.208,1037.3,0.048,616.0,0.756,0.849,1.0,K00835.01,KEPLER,CONFIRMED
56.2279271,3.57,2.37,15.208,862.7,0.7,366.0,0.756,0.849,0.878,K00835.02,KEPLER,CONFIRMED
2.384052875,3.0918,17.06,15.836,1268.1,1.178,1010.0,0.701,0.683,0.0,K00836.01,KEPLER,FALSE_POSITIVE
7.953547,2.6312,2.25,15.66,875.4,0.3,696.0,0.779,0.759,1.0,K00837.01,KEPLER,CONFIRMED
4.14451656,2.3421,1.48,15.66,391.8,0.004,864.0,0.779,0.759,1.0,K00837.02,KEPLER,CONFIRMED
4.859386384,2.2757,38.33,15.311,6044.3,1.259,1114.0,0.988,1.05,0.0,K00838.01,KEPLER,FALSE_POSITIVE
10.526294577,2.5211,8.24,15.305,9768.0,0.644,713.0,0.793,0.82,0.999,K00850.01,KEPLER,CONFIRMED
4.583520948,2.7055,5.39,15.287,3812.1,0.045,1038.0,0.877,0.973,1.0,K00851.01,KEPLER,CONFIRMED
3.76181843,3.5176,2.66,15.257,510.6,0.926,1121.0,0.949,0.974,0.876,K00852.01,KEPLER,CONFIRMED
8.20396958,2.9667,3.01,15.376,1024.4,0.823,742.0,0.826,0.785,1.0,K00853.01,KEPLER,CONFIRMED
14.49645186,4.016,3.01,15.376,647.5,0.97,613.0,0.826,0.785,1.0,K00853.02,KEPLER,CONFIRMED
6.54626149,2.75,2.19,15.855,655.9,0.644,810.0,0.817,0.926,1.0,K00841.03,KEPLER,CONFIRMED
12.71809866,3.0957,2.31,15.389,1149.4,0.427,562.0,0.686,0.67,1.0,K00842.01,KEPLER,CONFIRMED
36.06588163,4.3246,2.64,15.389,1563.8,0.26,397.0,0.686,0.67,0.999,K00842.02,KEPLER,CONFIRMED
4.190425659,2.8589,6.21,15.27,2877.4,0.458,1234.0,1.135,1.163,1.0,K00843.01,KEPLER,CONFIRMED
3.709870784,3.0694,4.35,15.581,2020.3,0.023,1151.0,0.978,1.013,1.0,K00844.01,KEPLER,CONFIRMED
16.3297527,6.271,3.75,15.447,1187.5,0.791,727.0,0.987,0.989,1.0,K00845.01,KEPLER,CONFIRMED
27.807566216,4.21587,13.84,15.482,25391.0,0.782,554.0,0.785,0.865,0.985,K00846.01,KEPLER,CONFIRMED
80.8723469,11.195,7.59,15.201,3604.6,0.527,452.0,1.238,0.932,0.942,K00847.01,KEPLER,CONFIRMED
3.166465862,2.9381,26.82,15.999,4357.2,1.266,954.0,0.704,0.68,0.0,K00848.01,KEPLER,FALSE_POSITIVE
24.99324319,5.9409,2.29,12.377,269.6,0.686,712.0,1.317,0.961,0.912,K00118.01,KEPLER,CONFIRMED
10.35533116,3.1775,2.47,15.018,750.6,0.029,777.0,0.918,0.891,1.0,K00849.01,KEPLER,CONFIRMED
16.08518937,3.984,3.68,15.219,1442.4,0.867,613.0,0.826,0.83,1.0,K00867.01,KEPLER,CONFIRMED
235.9986399,8.2284,10.59,15.172,20715.0,0.778,188.0,0.657,0.666,0.998,K00868.01,KEPLER,CANDIDATE
7.49018305,2.7297,2.56,15.599,1123.6,0.02,753.0,0.787,0.823,1.0,K00869.01,KEPLER,CONFIRMED
36.2761238,4.7865,3.03,15.599,1572.6,0.035,445.0,0.787,0.823,1.0,K00869.02,KEPLER,CONFIRMED
17.46087931,2.2641,2.32,15.599,812.4,0.594,568.0,0.787,0.823,1.0,K00869.03,KEPLER,CONFIRMED
56.0560754,4.685,1.94,15.849,1626.0,0.018,233.0,0.491,0.503,0.996,K00854.01,KEPLER,CONFIRMED
41.408316686,5.0264,11.38,15.196,22839.0,0.377,453.0,0.747,0.786,0.974,K00855.01,KEPLER,CONFIRMED
39.74893077,7.3051,14.21,15.344,15179.0,0.881,552.0,0.964,1.041,0.994,K00856.01,KEPLER,CANDIDATE
5.715425977,2.5242,2.47,15.086,908.1,0.348,850.0,0.826,0.927,1.0,K00857.01,KEPLER,CONFIRMED
49.18394185,11.3364,8.2,12.654,1646.2,0.035,669.0,2.057,1.247,0.959,K00119.01,KEPLER,CONFIRMED
20.0261412,1.611,2.28,15.086,421.2,0.957,559.0,0.826,0.927,0.994,K00857.02,KEPLER,CONFIRMED
13.61014819,2.594,19.02,15.06,5732.9,1.081,733.0,0.903,0.857,0.0,K00858.01,KEPLER,CANDIDATE
10.44331991,2.743,2.66,15.546,1159.8,0.23,667.0,0.802,0.769,0.0,K00859.01,KEPLER,FALSE_POSITIVE
2.237489571,1.8119,1.41,15.001,315.8,0.128,1160.0,0.81,0.91,1.0,K00861.01,KEPLER,CONFIRMED
5.851520671,3.11058,14.62,15.33,33004.0,0.211,901.0,0.806,0.804,0.0,K00862.01,KEPLER,FALSE_POSITIVE
3.167893418,2.1814,2.62,15.533,781.2,0.026,1221.0,0.94,1.026,1.0,K00863.01,KEPLER,CONFIRMED
4.311780262,2.7251,3.11,15.604,1154.0,0.196,1038.0,0.927,0.956,1.0,K00864.01,KEPLER,CONFIRMED
